Student,Timestamp,age?,gender?,education?,GPA?,sleep,study,screens,activity?,diet?,social?,activities?,mentalH?,Performance
24,2025/07/14 9:54:31 PM GMT+5:30,20,Female,UG,7.5,6-8 hours,1-2,3-4,Sometimes,Neutral,Constantly,Occasionally,Moderate,5.5
25,2025/07/14 9:51:03 PM GMT+5:30,22,Male,UG,7.2,6-8 hours,1-2,3-4,Sometimes,Somewhat healthy,Rarely,Occasionally,Moderate,5.44
26,2025/07/14 10:07:39 PM GMT+5:30,20,Male,UG,7.2,4-6 hours,1-2,3-4,Sometimes,Neutral,Frequently,No,Moderate,5.44
27,2025/07/14 9:48:55 PM GMT+5:30,20,Female,High- School,7.0,6-8 hours,1-2,More than 6,Sometimes,Neutral,Frequently,No,Low,5.4
28,2025/07/14 11:40:45 PM GMT+5:30,26,Male,PG,6.5,4-6 hours,1-2,3-4,Sometimes,Neutral,Occasionally,Occasionally,Moderate,5.3
29,2025/07/14 10:26:50 PM GMT+5:30,20,Male,UG,6.4,6-8 hours,1-2,5-6,Always,Very healthy,Constantly,Yes,High,5.28
30,2025/07/14 9:54:57 PM GMT+5:30,23,Male,UG,4.0,4-6 hours,1-2,3-4,Always,Neutral,Frequently,No,Very High,4.8
31,2025/07/14 9:39:13 PM GMT+5:30,20,Female,UG,8.6,4-6 hours,1-2,5-6,Sometimes,Neutral,Rarely,Yes,Moderate,4.72
32,2025/07/14 9:53:19 PM GMT+5:30,19,Female,UG,7.9,4-6 hours,1-2,3-4,Sometimes,Somewhat unhealthy,Constantly,Occasionally,Moderate,4.58
33,2025/07/14 9:44:23 PM GMT+5:30,20,Male,UG,7.0,6-8 hours,1-2,5-6,Sometimes,Somewhat healthy,Frequently,Occasionally,Moderate,4.4
34,2025/07/14 10:02:43 PM GMT+5:30,20,Male,UG,7.0,4-6 hours,1-2,More than 6,Sometimes,Very healthy,Rarely,Occasionally,High,4.4
35,2025/07/14 10:09:38 PM GMT+5:30,20,Male,UG,7.0,6-8 hours,1-2,5-6,Sometimes,Neutral,Frequently,Occasionally,Moderate,4.4
36,2025/07/14 10:35:26 PM GMT+5:30,22,Male,High- School,7.0,more than 8 hours,1-2,More than 6,Sometimes,Very healthy,Constantly,Yes,High,4.4
37,2025/07/14 10:16:14 PM GMT+5:30,23,Female,UG,8.6,6-8 hours,3-4,5-6,Sometimes,Neutral,Frequently,Yes,High,3.72
38,2025/07/14 11:04:37 PM GMT+5:30,20,Female,UG,7.6,4-6 hours,1-2,More than 6,Sometimes,Neutral,Constantly,Occasionally,High,3.52
39,2025/07/14 10:05:34 PM GMT+5:30,20,Female,UG,7.0,more than 8 hours,1-2,More than 6,Sometimes,Somewhat unhealthy,Frequently,Occasionally,Moderate,3.4
40,2025/07/14 10:19:17 PM GMT+5:30,22,Male,PG,6.2,6-8 hours,1-2,5-6,Always,Somewhat unhealthy,Frequently,Yes,Very High,3.24
41,2025/07/14 9:54:35 PM GMT+5:30,22,Male,UG,7.0,more than 8 hours,1-2,5-6,Never,Somewhat unhealthy,Frequently,No,Moderate,2.4
